,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,4,police,police
4,5,pensais,thought
5,6,aide,help
6,8,mois,month
7,9,frère,brother
8,10,laisser,let
9,11,car,because
10,12,mettre,to put
11,13,aucun,no
12,14,laisse,leash
13,15,ville,city
14,16,chaque,each
15,17,parlé,speak
16,18,arrivé,come
17,19,devrait,should
18,20,bébé,baby
19,21,longtemps,long time
20,22,heures,hours
21,24,revoir,meet again
22,25,aucune,any
23,26,place,square
24,27,parle,speak
25,28,compris,understood
26,29,savais,knew
27,30,attention,Warning
28,31,voici,here is
29,32,pourrais,could
30,35,type,type
31,37,donné,given
32,40,endroit,place
33,41,yeux,eyes
34,42,façon,way
35,43,écoute,listen
36,44,dont,whose
37,45,trouve,find
38,47,perdu,lost
39,48,main,hand
40,50,côté,side
41,51,pouvoir,power
42,55,point,point
43,56,venu,came
44,57,suite,after
45,58,pardon,sorry
46,59,venez,come
47,60,vers,towards
48,61,minutes,minutes
49,62,demandé,request
50,63,chambre,bedroom
51,64,mis,placed
52,65,belle,beautiful
53,66,droit,law
54,67,aimerais,would like to
55,69,mari,husband
56,71,espère,hope
57,72,eau,water
58,73,attendez,Wait
59,74,parti,left
60,75,nouvelle,new
61,76,boulot,job
62,77,arrêter,Stop
63,78,dirait,would say
64,79,terre,Earth
65,80,compte,account
66,81,donne,given
67,82,loin,far
68,83,fin,end
69,84,croire,believe
70,85,chérie,sweetheart
71,86,plutôt,rather
72,88,filles,girls
73,89,jouer,to play
